Company,FiscalYear,shap_CAR,shap_NPL_Ratio,shap_CD_Ratio,shap_Cost_of_Funds,shap_Base_Rate,shap_Interest_Spread,shap_ROE_derived,base_value,predicted_proba,true_label
ADBL,2074/2075,0.014645542949438095,-0.026504725217819214,-0.3974657356739044,0.09047719836235046,0.4033527970314026,-0.12766826152801514,0.0003561736084520817,0.020909003913402557,0.4945257008075714,0
ADBL,2075/2076,0.05676799640059471,0.035076774656772614,-0.8132455945014954,-0.03203413262963295,-0.3151150941848755,-0.09513969719409943,0.11076254397630692,0.04855376109480858,0.2680824398994446,0
ADBL,2076/2077,0.02890610694885254,0.15108345448970795,-0.5385782718658447,-0.0856073796749115,0.2402995079755783,-0.0443422868847847,-0.0013803355395793915,0.03393999859690666,0.44628825783729553,0
ADBL,2077/2078,0.28454652428627014,0.05421324446797371,-0.6243319511413574,0.02416897565126419,-0.23428736627101898,-0.015099954791367054,-0.08108062297105789,0.0735318660736084,0.3732406497001648,0
ADBL,2078/2079,-0.025506649166345596,-0.16750401258468628,0.48343154788017273,0.1431678980588913,-0.34069696068763733,-0.22326287627220154,-0.3305964767932892,0.14961393177509308,0.42278435826301575,1
ADBL,2079/2080,-0.14315718412399292,-0.3057652711868286,-0.6265185475349426,0.1347883939743042,0.5643649101257324,0.39238762855529785,-0.2713549733161926,0.2186904400587082,0.49085989594459534,1
ADBL,2080/2081,-0.23222695291042328,-0.02973276376724243,-0.7731337547302246,-0.18909159302711487,-0.3201207220554352,0.7622004151344299,0.08018304407596588,0.11822327226400375,0.35808199644088745,0
ADBL,2081/2082,-0.28645646572113037,0.014640389010310173,-0.8670679926872253,-0.017106156796216965,-0.19255872070789337,0.00793810561299324,-0.1812858283519745,0.09626290202140808,0.19377990067005157,1
EBL,2074/2075,0.07690608501434326,0.021548178046941757,-0.4891655743122101,-0.12529242038726807,-0.4445517063140869,-0.099045030772686,-0.0024908119812607765,0.020909003913402557,0.2609219551086426,0
EBL,2075/2076,-0.013095986098051071,0.00945389736443758,-0.7810536026954651,-0.044400714337825775,-0.386310338973999,0.05462966859340668,-0.10157524049282074,0.04855376109480858,0.22902964055538177,0
EBL,2076/2077,-0.056720927357673645,-0.11797258257865906,-0.5803338289260864,-0.09438739717006683,-0.3964514434337616,-0.08167862892150879,-0.02826552838087082,0.03393999859690666,0.21050730347633362,0
EBL,2077/2078,-0.31474730372428894,0.0043030232191085815,-0.6177749037742615,-0.06667307764291763,-0.12459283322095871,-0.12059502303600311,0.29727989435195923,0.0735318660736084,0.29540660977363586,0
EBL,2078/2079,0.17750033736228943,-0.33821308612823486,0.592378556728363,0.21101495623588562,-0.3553232252597809,-0.0721728652715683,-0.06682533025741577,0.14961393177509308,0.5739470720291138,1
EBL,2079/2080,-0.1696220338344574,0.3927619457244873,-0.5327763557434082,0.17202411592006683,0.16542336344718933,0.5098163485527039,0.33087268471717834,0.2186904400587082,0.7478522658348083,0
EBL,2080/2081,0.04898684471845627,0.03764268755912781,-0.5334193706512451,-0.20585346221923828,-0.36254096031188965,0.6704349517822266,0.1397383213043213,0.11822327226400375,0.4783167243003845,0
EBL,2081/2082,-0.2912012040615082,-0.015021760948002338,-0.7595605850219727,-0.032478537410497665,-0.2111065685749054,0.02024892531335354,-0.028517521917819977,0.09626290202140808,0.22769467532634735,0
GBIME,2074/2075,-0.03331565111875534,0.023531323298811913,-0.4528954029083252,0.06421097368001938,0.4671129584312439,-0.24139919877052307,0.01375802606344223,0.020909003913402557,0.46553274989128113,0
GBIME,2075/2076,-0.027714034542441368,0.005783573724329472,-0.9096714854240417,-0.023667994886636734,0.16705697774887085,-0.08441253751516342,-0.07631517946720123,0.04855376109480858,0.2889710068702698,1
GBIME,2076/2077,-0.013287047855556011,0.04599413275718689,-0.5241695046424866,-0.10030592232942581,-0.3510315418243408,-0.020214417949318886,0.03265238553285599,0.03393999859690666,0.2897863984107971,0
GBIME,2077/2078,-0.24866724014282227,0.07296548038721085,-0.8858241438865662,-0.13539990782737732,-0.3747575283050537,-0.09379611909389496,-0.07515862584114075,0.0735318660736084,0.15881039202213287,0
GBIME,2078/2079,0.011878198012709618,-0.17096927762031555,0.5678288340568542,0.29948094487190247,0.02028074488043785,-0.06800652295351028,0.009184405207633972,0.14961393177509308,0.6940858960151672,1
GBIME,2079/2080,-0.22780081629753113,-0.23007570207118988,-0.05442429333925247,0.10653511434793472,0.4740467071533203,-0.7452115416526794,0.05385081470012665,0.2186904400587082,0.40025824308395386,1
GBIME,2080/2081,0.013708996586501598,-0.08121249079704285,-0.8991965651512146,-0.20493033528327942,-0.31288155913352966,0.7647241353988647,0.0628923624753952,0.11822327226400375,0.36849653720855713,0
GBIME,2081/2082,-0.2833878993988037,-0.05566589534282684,-0.9424281716346741,-0.02246178686618805,-0.20491820573806763,0.11650923639535904,-0.2054327428340912,0.09626290202140808,0.18219858407974243,0
HBL,2074/2075,-0.07717540860176086,0.03441159427165985,-0.45938563346862793,-0.10174999386072159,0.7163225412368774,0.11943650245666504,0.01578892022371292,0.020909003913402557,0.5667387247085571,0
HBL,2075/2076,-0.027714034542441368,0.005783573724329472,-0.8495289087295532,-0.044400714337825775,0.16705697774887085,-0.08441253751516342,-0.08800601959228516,0.04855376109480858,0.294699490070343,0
HBL,2076/2077,0.01999322697520256,-0.005745948292315006,-0.5522953867912292,-0.1023116409778595,-0.3964514434337616,-0.09642388671636581,-0.06750337779521942,0.03393999859690666,0.23743416368961334,0
HBL,2077/2078,0.11591917276382446,-0.03436565399169922,-0.8183580636978149,-0.08518264442682266,-0.31094256043434143,-0.09578950703144073,-0.3177725076675415,0.0735318660736084,0.18649320304393768,0
HBL,2078/2079,0.12898054718971252,-0.2753688395023346,0.4453369379043579,0.13688376545906067,0.6408082842826843,0.14657965302467346,-0.056829243898391724,0.14961393177509308,0.7885162234306335,1
HBL,2079/2080,-0.20978903770446777,-0.126033216714859,1.9831743240356445,0.02213357202708721,0.0006578961620107293,-0.7079988121986389,-0.14709296822547913,0.2186904400587082,0.7376407384872437,0
HBL,2080/2081,0.01729932799935341,-0.1524205207824707,-0.42815065383911133,-0.13522173464298248,-0.03663525730371475,0.7358992099761963,0.05617254972457886,0.11822327226400375,0.5436798930168152,1
HBL,2081/2082,-0.06794962286949158,-0.09183283150196075,-0.13326244056224823,-0.13985592126846313,-0.5155028104782104,-0.006397627294063568,-0.23178300261497498,0.09626290202140808,0.2515577971935272,0
NABIL,2074/2075,-0.07200825214385986,0.021827181801199913,-0.5075146555900574,0.00047667790204286575,-0.41587841510772705,-0.09126115590333939,-0.04599790647625923,0.020909003913402557,0.2517223358154297,0
NABIL,2075/2076,-0.030004197731614113,0.005783573724329472,-0.6964794993400574,-0.05210353806614876,-0.3728887438774109,-0.08441253751516342,-0.10157524049282074,0.04855376109480858,0.21701857447624207,0
NABIL,2076/2077,-0.014621789567172527,-0.0009690718725323677,-0.5624733567237854,-0.10715441405773163,-0.382541686296463,-0.09642388671636581,-0.06750337779521942,0.03393999859690666,0.2318761795759201,0
NABIL,2077/2078,-0.26787111163139343,-0.007170403376221657,-0.8846379518508911,-0.13175088167190552,-0.2995891571044922,-0.012907777912914753,-0.25514525175094604,0.0735318660736084,0.14362038671970367,1
NABIL,2078/2079,-0.19961297512054443,-0.18850605189800262,0.6184510588645935,0.20840494334697723,-0.354293555021286,-0.11760969460010529,-0.21319663524627686,0.14961393177509308,0.47583162784576416,1
NABIL,2079/2080,0.10609275102615356,-0.16995982825756073,2.068678379058838,0.08101377636194229,0.16164004802703857,-0.6808579564094543,0.1869979053735733,0.2186904400587082,0.877857506275177,1
NABIL,2080/2081,0.03659076988697052,-0.15523329377174377,1.5476021766662598,-0.09011032432317734,-0.21228991448879242,0.6708319187164307,0.12517580389976501,0.11822327226400375,0.8850137591362,0
NABIL,2081/2082,-0.026008104905486107,0.047818440943956375,0.22188423573970795,-0.03663265332579613,-0.298029363155365,-0.012294728308916092,-0.08703497797250748,0.09626290202140808,0.4765087068080902,0
