FiscalYear,n,n_positive,true_rate,mean_pred_proba,bias
2074/2075,10,0,0.0,0.4396469235420227,0.4396469235420227
2075/2076,10,3,0.3,0.28076498955488205,-0.01923501044511794
2076/2077,10,1,0.1,0.32587283551692964,0.22587283551692963
2077/2078,10,1,0.1,0.25148397609591483,0.15148397609591482
2078/2079,10,9,0.9,0.578349769115448,-0.321650230884552
2079/2080,10,6,0.6,0.6390498127788306,0.03904981277883057
2080/2081,10,2,0.2,0.5766652256250382,0.3766652256250382
2081/2082,10,3,0.3,0.32398591116070746,0.023985911160707474
