Company,FiscalYear,FiscalYearAD,CAR,NPL_Ratio,CD_Ratio,Cost_of_Funds,Base_Rate,Interest_Spread,ROE_derived,Loan_Growth_YoY,NPL_Ratio_lag1,CAR_lag1,CD_Ratio_lag1,Delta_NPL_lag1,Delta_CAR_lag1,NPL_dev,CAR_dev,ROE_dev,NPL_next_year,Delta_NPL_next_year,Deteriorate_next_year
ADBL,2072/2073,2015/2016,,,,,,,13.738111423997951,,,,,,,,,-4.643636652817696,,,
ADBL,2073/2074,2016/2017,,,,,,,12.96328633107026,,,,,,,,,-0.7777980887801963,3.19,,
ADBL,2074/2075,2017/2018,20.18,3.19,77.52,7.38,11.73,5.43,10.032564849315682,,,,,,,2.585,7.074999999999999,-5.993289954500236,2.9,-0.29000000000000004,0
ADBL,2075/2076,2018/2019,20.33,2.9,78.72,7.41,10.58,4.68,8.189508680286758,,3.19,20.18,77.52,-0.29000000000000004,0.14999999999999858,2.255,7.034999999999998,-9.156822034949569,2.71,-0.18999999999999995,0
ADBL,2076/2077,2019/2020,20.46,2.71,66.31,6.4,9.26,4.44,12.185876021283756,11.983896347649926,2.9,20.33,78.72,-0.18999999999999995,0.13000000000000256,1.72,7.100000000000001,-1.0643127850243435,1.84,-0.8699999999999999,0
ADBL,2077/2078,2020/2021,23.13,1.84,73.53,4.7,7.13,4.37,11.67332800199356,24.225653420299754,2.71,20.46,66.31,-0.8699999999999999,2.669999999999998,0.9700000000000001,9.434999999999999,-1.3962712590892536,1.68,-0.16000000000000014,0
ADBL,2078/2079,2021/2022,16.34,1.68,89.17,6.89,8.9,4.37,7.97063095726605,16.7812792318784,1.84,23.13,73.53,-0.16000000000000014,-6.789999999999999,0.6849999999999999,2.865,-4.978190314808585,2.48,0.8,1
ADBL,2079/2080,2022/2023,15.05,2.48,81.73,7.51,10.06,3.94,9.056289236627691,-3.817945282848313,1.68,16.34,89.17,0.8,-1.2899999999999991,-0.1200000000000001,1.6850000000000023,-3.6029375744502303,3.44,0.96,1
ADBL,2080/2081,2023/2024,13.44,3.44,77.8,5.88,8.09,3.95,9.839713210502273,17.511258983268238,2.48,15.05,81.73,0.96,-1.6100000000000012,0.08499999999999996,0.8699999999999992,-0.7737492512977244,3.26,-0.18000000000000016,0
ADBL,2081/2082,2024/2025,13.36,3.26,68.68,3.81,5.87,3.96,10.610078390266223,5.638677545977726,3.44,13.44,77.8,-0.18000000000000016,-0.08000000000000007,0.6949999999999998,0.21499999999999986,-0.2861239273434073,4.78,1.5200000000000005,1
ADBL,2082/2083,2025/2026,13.63,4.78,65.13,3.68,5.42,3.92,0.014860160078969712,-0.3305976077450644,3.26,13.36,68.68,1.5200000000000005,0.27000000000000135,0.3700000000000001,0.8650000000000002,-2.6922400729920475,,,
EBL,2072/2073,2015/2016,,,,,,,20.09053648078387,,,,,,,,,1.7087884039682244,,,
EBL,2073/2074,2016/2017,,,,,,,17.65122643352443,,,,,,,,,3.910142013673976,0.2,,
EBL,2074/2075,2017/2018,14.97,0.2,75.98,5.61,8.45,4.75,16.99769405220317,,,,,,,-0.40499999999999997,1.8650000000000002,0.9718392483872513,0.16,-0.04000000000000001,0
EBL,2075/2076,2018/2019,13.75,0.16,75.07,6.21,8.12,4.29,17.274124166039844,,0.2,14.97,75.98,-0.04000000000000001,-1.2200000000000006,-0.485,0.45500000000000007,-0.0722065491964834,0.22,0.06,0
EBL,2076/2077,2019/2020,13.32,0.22,68.57,6.11,8.05,3.59,13.425592796389601,7.293228096967471,0.16,13.75,75.07,0.06,-0.4299999999999997,-0.77,-0.03999999999999915,0.17540399008150231,0.12,-0.1,0
EBL,2077/2078,2020/2021,12.51,0.12,72.52,4.48,5.99,3.24,8.83853054136741,13.802843846357584,0.22,13.32,68.57,-0.1,-0.8100000000000005,-0.75,-1.1850000000000005,-4.231068719715404,0.24,0.12,0
EBL,2078/2079,2021/2022,11.95,0.24,86.04,7.31,8.82,4.06,11.218985467652528,13.935098393719048,0.12,12.51,72.52,0.12,-0.5600000000000005,-0.755,-1.5250000000000004,-1.7298358044221072,0.79,0.55,1
EBL,2079/2080,2022/2023,13.36,0.79,82.32,7.75,9.47,3.97,13.30799086030001,10.129629974606472,0.24,11.95,86.04,0.55,1.4100000000000001,-1.81,-0.004999999999999005,0.6487640492220876,0.71,-0.08000000000000007,0
EBL,2080/2081,2023/2024,12.61,0.71,80.29,5.64,7.29,3.98,13.321671831930388,12.132598668666583,0.79,13.36,82.32,-0.08000000000000007,-0.75,-2.645,0.03999999999999915,2.7082093701303904,0.38,-0.32999999999999996,0
EBL,2081/2082,2024/2025,13.28,0.38,77.48,3.87,5.36,3.48,15.357962644430032,18.91248670495071,0.71,12.61,80.29,-0.32999999999999996,0.6699999999999999,-2.185,0.1349999999999998,4.461760326820402,0.74,0.36,0
EBL,2082/2083,2025/2026,12.77,0.74,75.83,3.61,4.86,3.36,3.5629715553911687,6.423577045311181,0.38,13.28,77.48,0.36,-0.5099999999999998,-3.67,0.004999999999999005,0.8558713223201515,,,
GBIME,2072/2073,2015/2016,,,,,,,15.920290969876627,,,,,,,,,-2.4614571069390205,,,
GBIME,2073/2074,2016/2017,,,,,,,13.721643888623161,,,,,,,,,-0.0194405312272945,0.69,,
GBIME,2074/2075,2017/2018,11.67,0.69,75.35,7.04,10.55,2.98,13.432635816051297,,,,,,,0.08499999999999996,-1.4350000000000005,-2.5932189877646206,0.55,-0.1399999999999999,0
GBIME,2075/2076,2018/2019,12.31,0.55,78.69,7.18,9.54,4.47,17.091480115867192,,0.69,11.67,75.35,-0.1399999999999999,0.6400000000000006,-0.09499999999999997,-0.9849999999999994,-0.254850599369135,1.81,1.26,1
GBIME,2076/2077,2019/2020,12.33,1.81,73.18,6.21,8.42,4.43,10.64183229458562,73.77404113699801,0.55,12.31,78.69,1.26,0.019999999999999574,0.8200000000000001,-1.0299999999999994,-2.6083565117224783,1.42,-0.3900000000000001,0
GBIME,2077/2078,2020/2021,13.17,1.42,76.31,4.66,6.6,3.65,12.623787092075275,20.859386811028983,1.81,12.33,73.18,-0.3900000000000001,0.8399999999999999,0.5499999999999999,-0.5250000000000004,-0.44581216900753873,1.22,-0.19999999999999996,0
GBIME,2078/2079,2021/2022,12.72,1.22,89.21,7.48,9.4,4.26,14.015300916078028,12.95378989830829,1.42,13.17,76.31,-0.19999999999999996,-0.4499999999999993,0.22499999999999998,-0.754999999999999,1.0664796440033921,3.08,1.86,1
